El número 1 es primo
El número 2 es primo
El número 3 es primo
El número 5 es primo
El número 7 es primo
El número 11 es primo
El número 13 es primo
El número 17 es primo
El número 19 es primo
El número 23 es primo
El número 29 es primo
El número 31 es primo
El número 37 es primo
El número 41 es primo
El número 43 es primo
El número 47 es primo
El número 53 es primo
El número 59 es primo
El número 61 es primo
El número 67 es primo
El número 71 es primo
El número 73 es primo
El número 79 es primo
El número 83 es primo
El número 89 es primo
El número 97 es primo
El número 101 es primo
El número 103 es primo
El número 107 es primo
El número 109 es primo
El número 113 es primo
El número 127 es primo
El número 131 es primo
El número 137 es primo
El número 139 es primo
El número 149 es primo
El número 151 es primo
El número 157 es primo
El número 163 es primo
El número 167 es primo
El número 173 es primo
El número 179 es primo
El número 181 es primo
El número 191 es primo
El número 193 es primo
El número 197 es primo
El número 199 es primo
El número 211 es primo
El número 223 es primo
El número 227 es primo
El número 229 es primo
El número 233 es primo
El número 239 es primo
El número 241 es primo
El número 251 es primo
El número 257 es primo
El número 263 es primo
El número 269 es primo
El número 271 es primo
El número 277 es primo
El número 281 es primo
El número 283 es primo
El número 293 es primo
El número 307 es primo
El número 311 es primo
El número 313 es primo
El número 317 es primo
El número 331 es primo
El número 337 es primo
El número 347 es primo
El número 349 es primo
El número 353 es primo
El número 359 es primo
El número 367 es primo
El número 373 es primo
El número 379 es primo
El número 383 es primo
El número 389 es primo
El número 397 es primo
El número 401 es primo
El número 409 es primo
El número 419 es primo
El número 421 es primo
El número 431 es primo
El número 433 es primo
El número 439 es primo
El número 443 es primo
El número 449 es primo
El número 457 es primo
El número 461 es primo
El número 463 es primo
El número 467 es primo
El número 479 es primo
El número 487 es primo
El número 491 es primo
El número 499 es primo
